time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,age,ehcp_or_statement,num_caseload,pc_caseload,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 16 to 19,Total,444,16.03467,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 20 to 25,EHCP,94,3.39473,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 20 to 25,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 20 to 25,Total,94,3.39473,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 5 to 10,EHCP,1075,38.82268,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 5 to 10,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Age 5 to 10,Total,1075,38.82268,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Total,EHCP,2769,100,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Total,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Total,Total,2769,100,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Under 5,EHCP,147,5.30878,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Under 5,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,Under 5,Total,147,5.30878,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 11 to 15,EHCP,844,38.94785,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 11 to 15,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 11 to 15,Total,844,38.94785,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 16 to 19,EHCP,445,20.5353,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 16 to 19,Statement,z,z,,,,,,,,
